Campaign Name,Send Time,Recipients,Revenue,First Purchase,Returning Customer,Open Rate,Click Rate,CTR,CVR,Time_Interval,Day_of_Week
ÚLTIMAS HORAS: HASTA 30% OFF,2025-12-31 10:00:00,56122,7277.0,3138.0,4139.0,0.5622,0.0085,0.0151,0.0012,10:00–11:00,Wednesday
TERMINA MAÑANA — La última venta del año,2025-12-30 09:30:00,57371,6653.0,2765.0,3888.0,0.5399,0.006999999999999999,0.013000000000000001,0.0012,09:00–10:00,Tuesday
Tu cuerpo responde al movimiento natural,2025-12-29 15:00:00,57325,2445.0,1591.0,854.0,0.5452,0.0053,0.0096,0.0003,15:00–16:00,Monday
Reinicia tu energía para lo que viene,2025-12-28 14:30:00,59223,3898.0,1343.0,2556.0,0.5687,0.0092,0.016200000000000003,0.0006,14:00–15:00,Sunday
Empieza desde tus pies,2025-12-27 18:00:00,60034,2939.0,1193.0,1747.0,0.6013000000000001,0.0084,0.0139,0.0004,18:00–19:00,Saturday
Sandalias: 25% OFF,2025-12-26 12:00:00,61264,7048.0,2489.0,4558.0,0.5623,0.0095,0.0169,0.0011,12:00–13:00,Friday
Sin oferta — Nota de agradecimiento,2025-12-24 18:00:00,61928,1551.0,816.0,735.0,0.5817,0.0033,0.005699999999999999,0.0002,18:00–19:00,Wednesday
"Regalos de último minuto (invierno, simple, siempre a tiempo)",2025-12-22 10:39:00,62788,1190.0,566.0,624.0,0.562,0.0029,0.0051,0.0002,10:00–11:00,Monday
Por qué el calzado correcto cambia más que tus pies,2025-12-20 15:00:00,96125,688.0,240.0,448.0,0.7011,0.0031,0.0045000000000000005,0.0001,15:00–16:00,Saturday
Por qué tantas familias eligen esta línea,2025-12-19 14:15:00,96526,1150.0,142.0,1007.0,0.69,0.0023,0.0033,0.0001,14:00–15:00,Friday
Top del invierno — Modelo Runner Pro,2025-12-16 15:30:00,96821,2227.0,887.0,1340.0,0.7152,0.022799999999999997,0.0319,0.0002,15:00–16:00,Tuesday
Spotlight: Pack de bienestar de pies,2025-12-13 12:00:00,47324,1598.0,735.0,863.0,0.5654,0.0067,0.0118,0.0004,12:00–13:00,Saturday
“Ordena a tiempo — evita tarifas express”,2025-12-12 17:00:00,47810,1327.0,499.0,828.0,0.5688,0.0074,0.013000000000000001,0.0001,17:00–18:00,Friday
Nosotros vs ellos — Barato vs premium,2025-12-10 12:00:00,49008,9044.0,706.0,8338.0,0.5599000000000001,0.005600000000000001,0.009899999999999999,0.0002,12:00–13:00,Wednesday
Antes / después: postura y energía,2025-12-07 10:00:00,49503,551.0,396.0,156.0,0.5697,0.0058,0.0101,0.0001,10:00–11:00,Sunday
Regalos para cada atleta,2025-12-06 10:30:00,102631,1825.0,935.0,890.0,0.6674,0.0034999999999999996,0.0053,0.0001,10:00–11:00,Saturday
La verdad sobre la comodidad,2025-12-05 10:00:00,52114,780.0,108.0,671.0,0.5627,0.004,0.0070999999999999995,0.0001,10:00–11:00,Friday
Por qué estos modelos lideran Cyber Week,2025-12-03 15:30:00,102117,4038.0,2005.0,2033.0,0.6811,0.0064,0.009399999999999999,0.0003,15:00–16:00,Wednesday
Los más regalados se van rápido,2025-12-02 10:30:00,102182,2107.0,518.0,1589.0,0.6679,0.0037,0.0055000000000000005,0.0002,10:00–11:00,Tuesday
CYBER empieza ya: hasta 30% OFF,2025-12-01 10:15:00,102722,5430.0,2124.0,3306.0,0.6642,0.0048,0.0072,0.0004,10:00–11:00,Monday
Último llamado: ahorros Black Friday,2025-11-30 10:15:00,103837,9635.0,3041.0,6594.0,0.6681999999999999,0.0072,0.010700000000000001,0.0009,10:00–11:00,Sunday
Último fin de semana: 25% OFF,2025-11-29 11:05:00,110271,10998.0,3081.0,7917.0,0.6377,0.005699999999999999,0.0089,0.0008,11:00–12:00,Saturday
Black Friday: el momento que esperabas,2025-11-28 11:00:00,77174,11348.0,4864.0,6484.0,0.5769,0.0084,0.0146,0.0013,11:00–12:00,Friday
"Gracias, comunidad (email de gratitud)",2025-11-27 09:00:00,110884,7392.0,1972.0,5419.0,0.6373,0.0043,0.0067,0.0006,09:00–10:00,Thursday
Cómo este ajuste cambió el juego,2025-11-25 16:08:00,78279,5276.0,1213.0,4063.0,0.6043,0.0074,0.0123,0.0005,16:00–17:00,Tuesday
Top 5 modelos más regalados,2025-11-23 11:13:44,105316,3749.0,1021.0,2729.0,0.6877,0.006500000000000001,0.0095,0.0003,11:00–12:00,Sunday
Black Friday empieza YA,2025-11-21 14:49:19,112678,8903.0,2696.0,6206.0,0.6456999999999999,0.009300000000000001,0.0143,0.0007000000000000001,14:00–15:00,Friday
Juntos — Última oportunidad: 5% de vuelta,2025-11-20 13:19:06,82039,5455.0,2097.0,3358.0,0.6031,0.0054,0.0089,0.0006,13:00–14:00,Thursday
“Últimas 48 horas de giving back” — cuenta regresiva,2025-11-19 12:00:00,105826,3699.0,1540.0,2159.0,0.6886,0.0055000000000000005,0.0079,0.0004,12:00–13:00,Wednesday
Lo que estás apoyando,2025-11-17 15:45:00,105902,5106.0,1823.0,3282.0,0.6859999999999999,0.0059,0.0086,0.0004,15:00–16:00,Monday
Un par. Infinitas rutas.,2025-11-15 12:00:00,114374,4360.0,1440.0,2920.0,0.637,0.0053,0.0083,0.0004,12:00–13:00,Saturday
"Muévete más, aporta más",2025-11-13 12:00:00,115260,12303.0,3462.0,8841.0,0.6342,0.0079,0.0125,0.0009,12:00–13:00,Thursday
Acceso VIP anticipado — 24h de ventaja,2025-11-12 12:00:00,19569,16314.0,4728.0,11586.0,0.6602,0.038,0.0575,0.0064,12:00–13:00,Wednesday
